Time since incubation,Remaining Dry Mass(%),Type,Species
0,100,Unthinned - CT,oak
87.34,84.83,Unthinned - CT,oak
178.93,84.83,Unthinned - CT,oak
266.272,74.07,Unthinned - CT,oak
357.87,62.08,Unthinned - CT,oak
447.34,57.32,Unthinned - CT,oak
536.804,52.56,Unthinned - CT,oak
626.27,42.15,Unthinned - CT,oak
717.87,40.92,Unthinned - CT,oak
2.13,100,Unthinned - CT,pine
91.6,89.07,Unthinned - CT,pine
181.07,87.83,Unthinned - CT,pine
272.66,81.31,Unthinned - CT,pine
362.13,72.49,Unthinned - CT,pine
451.6,64.2,Unthinned - CT,pine
543.2,66.84,Unthinned - CT,pine
632.66,53.62,Unthinned - CT,pine
722.13,54.32,Unthinned - CT,pine
0,99.65,Light Thinned - LT,oak
90.72,83.6,Light Thinned - LT,oak
177.59,76.01,Light Thinned - LT,oak
268.31,72.66,Light Thinned - LT,oak
357.1,54.5,Light Thinned - LT,oak
445.9,64.9,Light Thinned - LT,oak
536.62,58.02,Light Thinned - LT,oak
627.35,60.49,Light Thinned - LT,oak
716.14,43.92,Light Thinned - LT,oak
3.86,99.65,Light Thinned - LT,pine
92.65,89.24,Light Thinned - LT,pine
183.38,88.18,Light Thinned - LT,pine
272.17,81.31,Light Thinned - LT,pine
362.89,71.6,Light Thinned - LT,pine
453.62,62.26,Light Thinned - LT,pine
542.4,64.55,Light Thinned - LT,pine
633.14,51.85,Light Thinned - LT,pine
720,42.15,Light Thinned - LT,pine
0,99.47,Heavy Thinned - HT,oak
87.06,84.83,Heavy Thinned - HT,oak
178.06,79.54,Heavy Thinned - HT,oak
267.1,77.6,Heavy Thinned - HT,oak
358.06,70.19,Heavy Thinned - HT,oak
447.1,58.2,Heavy Thinned - HT,oak
538.06,63.32,Heavy Thinned - HT,oak
627.1,51.675,Heavy Thinned - HT,oak
718.06,53.62,Heavy Thinned - HT,oak
1.94,99.65,Heavy Thinned - HT,pine
92.9,90.12,Heavy Thinned - HT,pine
181.94,88.36,Heavy Thinned - HT,pine
272.9,86.6,Heavy Thinned - HT,pine
361.94,74.78,Heavy Thinned - HT,pine
452.9,69.31,Heavy Thinned - HT,pine
541.94,67.55,Heavy Thinned - HT,pine
630.97,59.96,Heavy Thinned - HT,pine
720,52.56,Heavy Thinned - HT,pine
